Post,Huishouden,Woonsituatie,Inkomen,Jaar,Bedrag
TOTAAL INKOMEN,Alleenstaand,gemiddelde huur,1500,2019,0
TOTAAL UITGAVEN,Alleenstaand,gemiddelde huur,1500,2019,0
 huur/hypotheek,Alleenstaand,gemiddelde huur,1500,2019,0
 gas,Alleenstaand,gemiddelde huur,1500,2019,98
 elektriciteit,Alleenstaand,gemiddelde huur,1500,2019,60
 water,Alleenstaand,gemiddelde huur,1500,2019,16
 lokale lasten,Alleenstaand,gemiddelde huur,1500,2019,56
 telefoon televisie internet,Alleenstaand,gemiddelde huur,1500,2019,81
 verzekeringen,Alleenstaand,gemiddelde huur,1500,2019,297
 onderwijs,Alleenstaand,gemiddelde huur,1500,2019,22
 kinderopvang,Alleenstaand,gemiddelde huur,1500,2019,0
 contributies en abonnementen,Alleenstaand,gemiddelde huur,1500,2019,94
 vervoer,Alleenstaand,gemiddelde huur,1500,2019,309
VASTE LASTEN,Alleenstaand,gemiddelde huur,1500,2019,0
 kleding en schoenen,Alleenstaand,gemiddelde huur,1500,2019,155
 inventaris,Alleenstaand,gemiddelde huur,1500,2019,133
 onderhoud huis en tuin,Alleenstaand,gemiddelde huur,1500,2019,86
 niet-vergoede ziektekosten,Alleenstaand,gemiddelde huur,1500,2019,58
 vrijetijdsuitgaven,Alleenstaand,gemiddelde huur,1500,2019,343
RESERVERINGSUITGAVEN,Alleenstaand,gemiddelde huur,1500,2019,0
 voeding,Alleenstaand,gemiddelde huur,1500,2019,403,,,,,
 overige huishoudelijke uitgaven,Alleenstaand,gemiddelde huur,1500,2019,170
HUISHOUDELIJKE UITGAVEN,Alleenstaand,gemiddelde huur,1500,2019,0
OVERSCHOT/TEKORT,Alleenstaand,gemiddelde huur,1500,2019,0
